Name,Name-Malayalam,Brand,Category,Sub Category,Derived STC-600x600,Created STC-600x600,STC-600x600,Derived STC-1000x1000,Created STC-1000x1000,STC-1000x1000,IMG-1080x1920,Product ID,ST,SD,STC
Zucchini Yellow,സുക്കിനി യെല്ലോ,,Fruits & Vegatables,Fruits & Vegatables,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1772362082/Zucchini_Yellow_zvdjzh.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1772362082/Zucchini_Yellow_zvdjzh.png","https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1772362082/Zucchini_Yellow_zvdjzh.png",https://res.cloudinary.com/deehc60xa/image/upload/v1772362082/Zucchini_Yellow_zvdjzh.png,https://res.cloudinary.com/deehc60xa/image/upload/v1772362082/Zucchini_Yellow_zvdjzh.png,,240,Zucchini Yellow,Zucchini Yellow,https://res.cloudinary.com/deehc60xa/image/upload/v1772362082/Zucchini_Yellow_zvdjzh.png
Hamam Lemon Flowers,ഹമാം ലെമൺ ഫ്ലവേഴ്സ്,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png",,240,Hamam Lemon Flowers,Hamam Lemon Flowers,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Hamam_Lemon_Flowers_bnfzbk.png
Pears Bathing Bars,പിയേഴ്സ് ബാത്തിംഗ് ബാർസ്,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224149/Pears_Bathing_Bars_xtrd9e.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Pears_Bathing_Bars_xtrd9e.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Pears_Bathing_Bars_xtrd9e.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Pears_Bathing_Bars_xtrd9e.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Pears_Bathing_Bars_xtrd9e.png",,240,Pears Bathing Bars,Pears Bathing Bars,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Pears_Bathing_Bars_xtrd9e.png
Lifebuoy Neem & Aloe Value Pack 7,ലൈഫ്ബോയ് നീം & അലോ വാല്യു പാക്ക് 7,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png",,240,Lifebuoy Neem & Aloe Value Pack 7,Lifebuoy Neem & Aloe Value Pack 7,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Lifebuoy_Neem_Aloe_Value_Pack_7_vwqev1.png
Lux Body Wash Magic Orchid 1L,ലക്സ് ബോഡി വാഷ് മാജിക് ഓർക്കിഡ് 1 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png",,240,Lux Body Wash Magic Orchid 1L,Lux Body Wash Magic Orchid 1L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Lux_Body_Wash_Magic_Orchid_1L_lsgp4i.png
Surf Excel Matic Top Load 4L,സർഫ് എക്സൽ മാറ്റിക് ടോപ്പ് ലോഡ് 4 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png",,240,Surf Excel Matic Top Load 4L,Surf Excel Matic Top Load 4L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Surf_Excel_Matic_Top_Load_4L_rc2mz2.png
Ujala Liquid Detergent Front Load 4 L,ഉജാല ലിക്വിഡ് ഡിറ്റർജന്റ് ഫ്രണ്ട് ലോഡ് 4 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png",,240,Ujala Liquid Detergent Front Load 4 L,Ujala Liquid Detergent Front Load 4 L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Detergent_Front_Load_4_L_l96ovj.png
Ujala Liquid Top Load 4L,ഉജാല ലിക്വിഡ് ടോപ്പ് ലോഡ് 4 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png",,240,Ujala Liquid Top Load 4L,Ujala Liquid Top Load 4L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Ujala_Liquid_Top_Load_4L_bkjd0j.png
Comfort Perfume Delux Passion 1.8L,കംഫർട്ട് പെർഫ്യൂം ഡീലക്സ് പാഷൻ 1.8 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png",,240,Comfort Perfume Delux Passion 1.8L,Comfort Perfume Delux Passion 1.8L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Comfort_Perfume_Delux_Passion_1.8L_uzp9br.png
Pepsodent Gum Care Tooth Paste,പെപ്സോഡെന്റ് ഗം കെയർ ടൂത്ത് പേസ്റ്റ്,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png",,240,Pepsodent Gum Care Tooth Paste,Pepsodent Gum Care Tooth Paste,https://res.cloudinary.com/deehc60xa/image/upload/v1773224150/Pepsodent_Gum_Care_Tooth_Paste_w178w2.png
Vim Pro Clean Freash Mint 1.7L,വിം പ്രോ ക്ലീൻ ഫ്രെഷ് മിന്റ് 1.7 ലിറ്റർ,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png",,240,Vim Pro Clean Freash Mint 1.7L,Vim Pro Clean Freash Mint 1.7L,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Pro_Clean_Freash_Mint_1.7L_xv4rne.png
Vim Sudham 450 ML,വിം സുധം 450 മില്ലി,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224151/Vim_Sudham_450_ML_jzapow.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Sudham_450_ML_jzapow.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Sudham_450_ML_jzapow.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Vim_Sudham_450_ML_jzapow.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224151/Vim_Sudham_450_ML_jzapow.png",,240,Vim Sudham 450 ML,Vim Sudham 450 ML,https://res.cloudinary.com/deehc60xa/image/upload/v1773224151/Vim_Sudham_450_ML_jzapow.png
Horlicks Millet Chocolate 600 G,ഹോർലിക്സ് മില്ലറ്റ് ചോക്ലേറ്റ് 600 ഗ്രാം,,Food & Beverages,Food & Beverages,"https://res.cloudinary.com/deehc60xa/image/upload/w_600,h_600,c_pad,b_transparent/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png",https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png",,"https://res.cloudinary.com/deehc60xa/image/upload/w_1000,h_1000,c_pad,b_transparent/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png",,240,Horlicks Millet Chocolate 600 G,Horlicks Millet Chocolate 600 G,https://res.cloudinary.com/deehc60xa/image/upload/v1773224149/Horlicks_Millet_Chocolate_600_G_nhongl.png
